d_optimal_rank,run_no,batch_id,design_type,syn_wax_pct,dimethicone_pct,fill_temp_c,leverage_score_hii,d_optimality_priority
1,02,GS40-P002,Vertex_HighSyn_LowDim_Tmin,15.0,12.0,75.0,0.8523,HIGH (Extreme Boundary / Vertex)
2,03,GS40-P003,Vertex_LowSyn_HighDim_Tmax,9.0,22.0,85.0,0.8523,HIGH (Extreme Boundary / Vertex)
3,07,GS40-P007,Axial_SilMax,12.0,22.0,75.0,0.8425,HIGH (Extreme Boundary / Vertex)
4,08,GS40-P008,Axial_SilMin,12.0,12.0,85.0,0.8425,HIGH (Extreme Boundary / Vertex)
5,01,GS40-P001,Vertex_HighSyn_HighDim,15.0,22.0,80.0,0.8170,HIGH (Extreme Boundary / Vertex)
6,04,GS40-P004,Vertex_LowSyn_LowDim,9.0,12.0,80.0,0.8170,HIGH (Extreme Boundary / Vertex)
7,05,GS40-P005,Axial_WaxMax,15.0,17.0,75.0,0.6796,MEDIUM (Axial Face Centered)
8,06,GS40-P006,Axial_WaxMin,9.0,17.0,85.0,0.6796,MEDIUM (Axial Face Centered)
9,09,GS40-P009,Axial_TempMin,12.0,17.0,75.0,0.6612,MEDIUM (Axial Face Centered)
10,10,GS40-P010,Axial_TempMax,12.0,17.0,85.0,0.6612,MEDIUM (Axial Face Centered)
11,11,GS40-P011,Interior_Low,10.5,14.5,80.0,0.1922,CRITICAL_REPLICATE (Center Point LOF/PE)
12,12,GS40-P012,Interior_High,13.5,19.5,80.0,0.1922,CRITICAL_REPLICATE (Center Point LOF/PE)
13,13,GS40-P013,Centroid_Replicate_1,12.0,17.0,80.0,0.1554,CRITICAL_REPLICATE (Center Point LOF/PE)
14,14,GS40-P014,Centroid_Replicate_2,12.0,17.0,80.0,0.1554,CRITICAL_REPLICATE (Center Point LOF/PE)
15,15,GS40-P015,Centroid_Replicate_3,12.0,17.0,80.0,0.1554,CRITICAL_REPLICATE (Center Point LOF/PE)
16,16,GS40-P016,Centroid_Replicate_4,12.0,17.0,80.0,0.1554,CRITICAL_REPLICATE (Center Point LOF/PE)
17,17,GS40-P017,Supplemental_Temp_78C,12.0,17.0,78.0,0.1441,CRITICAL_REPLICATE (Center Point LOF/PE)
18,18,GS40-P018,Supplemental_Temp_82C,12.0,17.0,82.0,0.1441,CRITICAL_REPLICATE (Center Point LOF/PE)
