# GLIDE-SPEC 40: GS40_CAL_001 Physical Execution & Lineage Batch Sheet
# Document Authority: SOP-GS40-PILOT-001 / SOP-GS40-MFG-001 / SOP-GS40-GOV-001
# Batch Registration ID: GS40_CAL_001 (Internal Pilot Code: GS40-P001, Trial: DOE-EXP-001)
# Target Stick Specification: 20g solid stick anti-chafing product
# Physical execution status: PENDING_MATERIAL_SPEC_CONFIRMATION
# IMPORTANT: This sheet contains execution targets and REAL_PILOT actual-measurement fields only. Historical/virtual prior predictions are stored separately in data/doe/pilot_doe_virtual_prior_baseline.csv and MUST NOT be entered as actual measurements.
# Batch scale: 1,000.0 g (1.0 kg pilot batch). Any smaller lab-scale execution requires an explicit new batch/scale registration and must not silently overwrite this batch definition.
# HANDOFF GATE: Supplier/grade/trade-name entries below are candidate specifications, not verified physical lots. Before manufacture, actual supplier, grade, INCI, CoA, lot, active/solids content and carrier must be recorded. No substitution is allowed without a new versioned batch/formula record.

Section,Parameter_or_Component,Material_or_Step_ID,Supplier_TradeName,Active_Basis_wt_pct,Target_Charge_g_per_1000g,Actual_Weighed_g,Lot_Number,CoA_Verified,Active_Content_Pct,Device_ID,Compounding_Notes
COMPOSITION,Synthetic Wax,MAT-WAX-SYN-01,Koster Keunen / Synthetic Wax (candidate),15.0,150.00,,,PENDING,100.0%,BALANCE_01,Final grade/melting-point spec and actual lot required before manufacture
COMPOSITION,Candelilla Wax,MAT-WAX-CAN-01,Strahl & Pitsch / Candelilla Wax (candidate),2.0,20.00,,,PENDING,100.0%,BALANCE_01,Final grade/melting-point spec and actual lot required before manufacture
COMPOSITION,PEG-8 Beeswax,MAT-WAX-PEG-01,Gattefosse / Apifil (candidate),3.0,30.00,,,PENDING,100.0%,BALANCE_01,Final grade/INCI and actual lot required before manufacture
COMPOSITION,MQ Resin 60% Solution,MAT-MQ-01,Candidate: Dowsil MQ-1600 / TMS 803,12.0 (Active),200.00,,,PENDING,60.0% (VERIFY CoA),BALANCE_01,Do not assume candidate trade name; verify actual INCI, solids %, carrier, grade and lot. Charge conversion must use verified CoA.
COMPOSITION,Pure Dimethicone Oil (100 cSt),MAT-SIL-DIM-01,Shin-Etsu KF-96A-100cs (candidate),22.0 (Pool Total),140.00,,,PENDING,100.0%,BALANCE_01,140g direct charge + verified MQ carrier contribution; recompute carrier offset from actual CoA before weighing
COMPOSITION,Caprylyl Methicone,MAT-SIL-CAP-01,Dowsil FZ-3196 (candidate),6.0,60.00,,,PENDING,100.0%,BALANCE_01,Final grade/INCI and actual lot required before manufacture
COMPOSITION,Porous Spherical Silica,MAT-POW-SIL-01,AGC Si-Tech / Sunsphere H-51 (candidate),10.0,100.00,,,PENDING,100.0%,BALANCE_01,Verify D50/D90, BET, oil absorption, moisture and actual lot
COMPOSITION,Silica Dimethyl Silylate,MAT-POW-AER-01,Evonik / Aerosil R972 (candidate),2.0,20.00,,,PENDING,100.0%,BALANCE_01,Verify grade, particle/dispersion spec, moisture and actual lot
COMPOSITION,PMSSQ (Polymethylsilsesquioxane),MAT-POW-PMS-01,Momentive / Tospearl 145A (candidate),8.0,80.00,,,PENDING,100.0%,BALANCE_01,Verify particle size/morphology, purity and actual lot
COMPOSITION,Boron Nitride Platelets,MAT-POW-BN-01,Saint-Gobain / Tres BN PUHP3002 (candidate),3.0,30.00,,,PENDING,100.0%,BALANCE_01,Verify grade, purity, particle size/morphology and actual lot
